id,titulo,organizacion,tipo_org,sector,subsector,pais_contexto,año,idioma,tipo_documento,nivel_toc,url,url_pdf,descripcion,palabras_clave,estado_descarga
104,Theory of Change — Financial Inclusion for the Unbanked,Bill and Melinda Gates Foundation,Fundacion,Inclusion financiera,Servicios financieros digitales,Africa / Asia,2019,EN,Documento de programa,Programa específico,https://www.gatesfoundation.org/our-work/programs/global-growth-opportunity/financial-services-for-the-poor,https://docs.gatesfoundation.org/documents/financial-inclusion-theory-of-change.pdf,ToC de Gates Foundation para inclusion financiera de poblaciones sin bancarizar. Explica como los servicios financieros digitales generan prosperidad en Africa y Asia.,"financial inclusion, unbanked, Gates Foundation, digital financial services, theory of change",pendiente
105,Theory of Change in Mental Health Recovery — Recovery College Model,ImROC / Recovery Colleges UK,Red / ONG,Salud mental / Bienestar,Recuperacion en salud mental,UK,2018,EN,Documento de programa,Programa específico,https://imroc.org/resources/theory-of-change/,https://imroc.org/assets/2Theory-of-change-paper-May-2018.pdf,ToC del modelo Recovery College para recuperacion en salud mental. Explica como el aprendizaje colaborativo entre personas con experiencia vivida y profesionales genera recuperacion.,"mental health, recovery, Recovery College, theory of change, lived experience, ImROC",pendiente
106,Theory of Change — Disability Inclusion in Development,CBM (Christian Blind Mission),ONG internacional,Discapacidad e inclusion,Inclusion de personas con discapacidad,Global,2017,EN,Documento de programa,Marco general,https://www.cbm.org/resources/theory-of-change/,https://www.cbm.org/fileadmin/CBM/downloads/about_cbm/strategy/CBM-Theory-of-Change.pdf,ToC de CBM para la inclusion de personas con discapacidad en el desarrollo. Articula como la inclusion sistematica de personas con discapacidad genera desarrollo para todos.,"disability, inclusion, development, CBM, CRPD, theory of change",pendiente
107,GSMA Connected Women — Theory of Change for Mobile Gender Gap,GSMA / Connected Women,Alianza empresarial,Genero / Igualdad,Brecha digital de género,Global,2020,EN,Documento de programa,Programa específico,https://www.gsma.com/connected-women/,https://www.gsma.com/mobilefordevelopment/wp-content/uploads/2020/09/GSMA-Connected-Women-Theory-of-Change.pdf,ToC de GSMA Connected Women para cerrar la brecha de género en acceso a telefonía movil. Explica como mayor conectividad de mujeres genera empoderamiento economico.,"mobile, gender gap, women, digital inclusion, GSMA, theory of change",pendiente
108,Theory of Change — Violence Against Women and Girls Prevention,What Works to Prevent Violence (DFID / UKAID),Programa de investigacion,Genero / Igualdad,Violencia contra la mujer,Africa / Asia,2018,EN,Documento de programa,Programa específico,https://www.whatworks.co.za/resources/theory-of-change,https://www.whatworks.co.za/documents/publications/214-what-works-toc-2018/file,ToC del programa What Works para prevencion de violencia contra la mujer. Financiado por DFID. Explica la logica de cambio en intervencion en VCM/VCN.,"violence against women, VAWG, prevention, theory of change, What Works, DFID",pendiente
109,Skoll Foundation Theory of Change — Systems Change through Social Entrepreneurship,Skoll Foundation,Fundacion,Empresa social / Emprendimiento,Emprendimiento social a escala,Global,2019,EN,Documento estrategico,Organizacional,https://skoll.org/about/theory-of-change/,https://skoll.org/wp-content/uploads/2019/05/Skoll-Theory-of-Change.pdf,ToC de Skoll Foundation para el cambio sistemico a traves del emprendimiento social. Explica como los emprendedores sociales a escala modifican sistemas que afectan a millones.,"social entrepreneurship, systems change, Skoll, theory of change, scale, transformation",pendiente
110,Teoria del Cambio — Banco Interamericano de Desarrollo (BID) Marco de Resultados,Banco Interamericano de Desarrollo (BID),Banco multilateral,Desarrollo economico / Pobreza,Operaciones de desarrollo,America Latina,2020,ES,Guia metodologica,Marco general,https://publications.iadb.org/en/theory-of-change,https://publications.iadb.org/publications/spanish/document/teoria-del-cambio.pdf,Marco del BID para construir teoria del cambio en operaciones de desarrollo. Guia para equipos tecnicos en la definicion de cadenas de resultados y supuestos.,"BID, teoria del cambio, cadena de resultados, desarrollo, America Latina",pendiente
111,Theory of Change for Peacebuilding — CDA Collaborative Learning,CDA Collaborative Learning Projects,Think tank,Paz y reconciliacion,Construccion de paz,Global,2016,EN,Guia metodologica,Marco general,https://www.cdacollaborative.org/publication/theory-of-change-for-peacebuilding/,https://www.cdacollaborative.org/wp-content/uploads/2016/04/Theory-of-Change-Peacebuilding.pdf,Guia de CDA para aplicar ToC en programas de construccion de paz. Aborda la complejidad del cambio en contextos de conflicto y post-conflicto.,"peacebuilding, conflict, theory of change, CDA, peace, complexity",pendiente
112,Theory of Change for Nutrition Sensitive Agriculture,FAO / IFAD / CGIAR,ONU / CGIAR,Nutricion / Seguridad alimentaria,Agricultura sensible a la nutricion,Global,2018,EN,Documento tecnico,Marco general,https://www.fao.org/nutrition/activities/theory-of-change/en/,https://www.fao.org/3/i8442en/I8442EN.pdf,Marco de teoria del cambio para la agricultura sensible a la nutricion. Explica como las intervenciones agricolas pueden generar mejoras en los resultados nutricionales.,"nutrition sensitive agriculture, FAO, food security, theory of change, nutrition",pendiente
113,Voluntary Service Overseas (VSO) Theory of Change,VSO International,ONG internacional,Desarrollo Internacional,Voluntariado para el desarrollo,Global,2018,EN,Documento estrategico,Organizacional,https://www.vsointernational.org/our-work/theory-of-change,https://www.vsointernational.org/sites/vso_international/files/VSO-Theory-of-Change.pdf,"ToC de VSO para el voluntariado como palanca de desarrollo. Explica como voluntarios de todas las nacionalidades generan cambio en salud, educacion y medios de vida.","volunteering, VSO, development, theory of change, education, health, livelihoods",pendiente
114,Mercy Corps Theory of Change — Resilience and Livelihoods,Mercy Corps,ONG internacional,Accion humanitaria,Resiliencia y medios de vida,Global,2019,EN,Documento de programa,Organizacional,https://www.mercycorps.org/our-work/our-theory-of-change,https://www.mercycorps.org/sites/default/files/2019-11/mercy-corps-theory-of-change.pdf,ToC de Mercy Corps para la construccion de resiliencia y medios de vida en contextos fragiles. Integra respuesta humanitaria con desarrollo a largo plazo.,"resilience, livelihoods, Mercy Corps, theory of change, fragile states, humanitarian",pendiente
115,Theory of Change in Criminal Justice Reform,Prison Reform Trust / T2A Alliance,ONG,Justicia / Sistema penal,Reforma del sistema penal,UK,2017,EN,Documento de programa,Programa especifico,https://prisonreformtrust.org.uk/theory-of-change,https://prisonreformtrust.org.uk/wp-content/uploads/old_files/Documents/theory_of_change.pdf,"ToC de Prison Reform Trust para la reforma del sistema penal en UK. Explica como la advocacy, el litigio estrategico y el apoyo a reclusos generan cambios sistemicos.","criminal justice, prison reform, theory of change, advocacy, UK, recidivism",pendiente
116,Theory of Change — Sport for Development,Comic Relief / StreetGames,ONG,Deporte para el desarrollo,Deporte como herramienta de cambio social,UK,2018,EN,Documento de programa,Marco general,https://www.streetgames.org/learning-resources/theory-of-change,https://www.streetgames.org/wp-content/uploads/StreetGames-Theory-of-Change.pdf,"ToC de StreetGames para el deporte como herramienta de desarrollo en comunidades marginadas. Explica como el deporte genera bienestar, inclusion social y habilidades para la vida.","sport for development, theory of change, StreetGames, youth, community, wellbeing",pendiente
117,Teoria del Cambio — Escuelas Nueva Colombia,Escuela Nueva Activa,ONG / Empresa social,Educacion,Educacion rural en Colombia,Colombia,2019,ES,Documento de programa,Programa especifico,https://www.escuelanueva.org/portal/es/modelo-escuela-nueva/teoria-del-cambio.html,https://www.escuelanueva.org/portal/es/images/EN-teoria-del-cambio.pdf,Teoria del cambio del modelo Escuela Nueva para educacion rural en Colombia. Explica como el aprendizaje activo y participativo mejora la calidad educativa en escuelas multigrado.,"Escuela Nueva, educacion rural, Colombia, teoria del cambio, aprendizaje activo",pendiente
118,Theory of Change for Microfinance Impact,Grameen Foundation,Fundacion,Inclusion financiera,Microfinanzas,Asia / Africa,2016,EN,Documento de programa,Organizacional,https://grameenfoundation.org/our-work/theory-of-change,https://grameenfoundation.org/storage/documents/Grameen-Foundation-Theory-of-Change.pdf,ToC de Grameen Foundation para el impacto de las microfinanzas. Explica como el acceso a credito y servicios financieros genera empoderamiento economico en mujeres de bajos ingresos.,"microfinance, Grameen, women, financial inclusion, theory of change, poverty",pendiente
119,Theory of Change for Arts and Culture — The British Council,British Council,Institucion cultural publica,Arte y cultura,Diplomacia cultural,Global,2019,EN,Documento estrategico,Organizacional,https://www.britishcouncil.org/arts/theory-of-change,https://www.britishcouncil.org/sites/default/files/bc_theory_of_change.pdf,"ToC del British Council para la diplomacia cultural. Explica como las artes, la educacion y la cultura generan confianza mutua entre paises.","arts, culture, British Council, cultural diplomacy, theory of change, soft power",pendiente
120,Theory of Change — Corporate Social Responsibility (CSR) Programs,Business in the Community (BITC),Red empresarial,RSE / Empresa y sociedad,Programas de responsabilidad social empresarial,UK,2020,EN,Guia metodologica,Marco general,https://www.bitc.org.uk/report/theory-of-change/,https://www.bitc.org.uk/wp-content/uploads/2020/01/bitc-theory-of-change-guide.pdf,Guia de BITC para construir ToC en programas de RSE corporativa. Ayuda a empresas a articular logica de cambio de sus inversiones sociales.,"CSR, corporate social responsibility, theory of change, BITC, social investment, business",pendiente
121,Reporte de Impacto Social — Teoria del Cambio Fundacion Bolivar Davivienda,Fundacion Bolivar Davivienda,Fundacion empresarial,Educacion,Educacion financiera y emprendimiento,Colombia,2022,ES,Informe de impacto,Organizacional,https://www.fundacionbolivardavivienda.org/impacto,https://www.fundacionbolivardavivienda.org/sites/default/files/teoria-del-cambio-2022.pdf,Teoria del cambio de la Fundacion Bolivar Davivienda. Articula como sus programas de educacion y emprendimiento generan bienestar en comunidades colombianas.,"Fundacion Bolivar Davivienda, teoria del cambio, educacion, Colombia, emprendimiento",pendiente
122,Theory of Change for Sustainable Urban Development,C40 Cities Climate Leadership Group,Red de ciudades,Clima / Medio ambiente,Ciudades sostenibles,Global,2020,EN,Documento estrategico,Organizacional,https://www.c40.org/our-theory-of-change,https://www.c40.org/wp-content/uploads/2020/06/C40-Theory-of-Change.pdf,ToC de C40 Cities para el desarrollo urbano sostenible y accion climatica. Explica como las ciudades actuan como laboratorios de cambio climatico global.,"cities, climate change, urban, theory of change, C40, sustainable development",pendiente
123,Theory of Change — Food and Land Use Coalition (FOLU),Food and Land Use Coalition (FOLU),Coalicion internacional,Nutricion / Seguridad alimentaria,Sistemas alimentarios sostenibles,Global,2019,EN,Documento estrategico,Marco general,https://www.foodandlandusecoalition.org/theory-of-change/,https://www.foodandlandusecoalition.org/wp-content/uploads/2019/09/FOLU-Theory-of-Change.pdf,"ToC de FOLU para la transformacion de los sistemas alimentarios y de uso de la tierra. Explica como cambios en politica, mercados y sociedad pueden generar sistemas alimentarios sostenibles.","food systems, land use, FOLU, theory of change, sustainable agriculture, transformation",pendiente
124,Theory of Change for Workforce Development Programs,Urban Institute,Think tank,Empleo / Juventud,Desarrollo de la fuerza laboral,USA,2017,EN,Documento tecnico,Marco general,https://www.urban.org/research/publication/theory-of-change-workforce-development,https://www.urban.org/sites/default/files/publication/93461/theory-of-change-workforce.pdf,"Marco de ToC del Urban Institute para programas de desarrollo de la fuerza laboral. Identifica supuestos clave sobre mercados laborales, competencias y empleabilidad.","workforce development, employment, Urban Institute, theory of change, skills, labor market",pendiente
125,Theory of Change in Ten Steps,NPC (New Philanthropy Capital),Think tank,Metodologia,Proceso paso a paso,UK,2019,EN,Manual practico,Marco general,https://www.thinknpc.org/resource-hub/ten-steps/,https://www.thinknpc.org/wp-content/uploads/2019/10/Theory-of-Change-10-Steps-Updated.pdf,"Manual de NPC con diez pasos para construir una ToC. El recurso mas descargado de NPC. Incluye ejemplos, plantillas y preguntas orientadoras para cada paso.","theory of change, ten steps, NPC, charity, methodology, practical",pendiente
126,Theories of Change for Campaigning,NPC (New Philanthropy Capital),Think tank,Gobernanza,Advocacy y campanas,UK,2021,EN,Guia metodologica,Marco general,https://www.thinknpc.org/resource-hub/theories-of-change-for-campaigning/,https://www.thinknpc.org/wp-content/uploads/2021/06/Theories-of-change-for-campaigning.pdf,"Guia de NPC para adaptar ToC a trabajo de campana y advocacy. Explica diferencias entre cambio individual, cambio social y cambio de sistema en contextos de incidencia politica.","campaigning, advocacy, theory of change, NPC, policy change, systems",pendiente
127,Thinking Big: How to Use Theory of Change for Systems Change,NPC (New Philanthropy Capital),Think tank,Metodologia,Cambio sistemico,UK,2018,EN,Informe de investigacion,Marco general,https://www.thinknpc.org/resource-hub/thinking-big/,https://www.thinknpc.org/wp-content/uploads/2019/01/https___www.thinknpc.org_wp-content_uploads_2018_07_NPC-Thinking-Big-report-_-FINAL.pdf,Informe de NPC sobre como usar la ToC para abordar cambio sistemico. Analiza lecciones de 11 organizaciones y extrae patrones de ToC para sistemas complejos.,"systems change, theory of change, NPC, complexity, organisations, impact",pendiente
128,Understanding Impact: Using Your Theory of Change,NPC (New Philanthropy Capital),Think tank,Metodologia,Medicion de impacto,UK,2020,EN,Guia metodologica,Marco general,https://www.thinknpc.org/resource-hub/understanding-impact/,https://www.thinknpc.org/wp-content/uploads/2020/02/Understanding-Impact-.pdf,Guia de NPC sobre como usar la ToC para medir y entender el impacto. Puente entre construccion de ToC y diseno de sistemas de M&E.,"impact measurement, theory of change, NPC, M&E, monitoring, evaluation",pendiente
129,Systems Change: A Guide to What It Is and How to Do It,NPC (New Philanthropy Capital),Think tank,Metodologia,Cambio sistemico,UK,2018,EN,Guia metodologica,Marco general,https://www.thinknpc.org/resource-hub/systems-change/,https://www.thinknpc.org/wp-content/uploads/2018/07/NPC_Systems-Change_Final.pdf,"Guia de NPC sobre cambio sistemico: que es, como se disenan estrategias y como se evalua. Complementa directamente la ToC en contextos de cambio complejo.","systems change, NPC, complexity, strategy, impact, evaluation",pendiente
130,Theory of Change: Kooth Digital Mental Health Platform,NPC / Kooth,Think tank / Empresa social,Salud mental / Bienestar,Salud mental digital,UK,2021,EN,Documento de programa,Programa especifico,https://www.thinknpc.org/resource-hub/kooth-theory-of-change/,https://www.thinknpc.org/wp-content/uploads/2021/02/Theory-of-change-Kooth-for-adults.pdf,"ToC de Kooth, plataforma digital de salud mental para adultos. Caso practico de NPC que muestra como aplicar ToC en servicios de salud mental digitales.","mental health, digital, Kooth, theory of change, NPC, online, adults",pendiente
131,World Vision Child Protection Theory of Change,World Vision International,ONG internacional,Infancia / Derechos,Proteccion infantil,Global,2018,EN,Documento de programa,Programa especifico,https://www.wvi.org/international/publication/world-visions-theory-change,https://www.wvi.org/sites/default/files/Child%20Protection%20Theory%20of%20Change_World%20Vision.pdf,"ToC de proteccion infantil de World Vision International. Cadena de resultados para proteger ninos de abuso, explotacion y violencia en comunidades donde WV opera.","child protection, World Vision, theory of change, abuse, exploitation, communities",pendiente
132,World Vision Theory of Change — Child Wellbeing,World Vision International,ONG internacional,Infancia / Derechos,Bienestar infantil,Global,2017,EN,Documento estrategico,Organizacional,https://www.wvi.org/international/publication/world-visions-theory-change,https://www.wvi.org/sites/default/files/WV%20Theory%20of%20Change.Summary_0.pdf,"ToC institucional de World Vision para el bienestar de ninos en las comunidades donde opera. Muestra como los cambios a nivel individual, familiar y comunitario generan bienestar infantil sostenido.","World Vision, child wellbeing, theory of change, community, transformation",pendiente
133,Ford Foundation Theory of Change and Value Proposition,Ford Foundation,Fundacion,Desarrollo Internacional,Reduccion de la desigualdad,Global,2023,EN,Documento estrategico,Organizacional,https://www.fordfoundation.org/work/learning/learning-reflections/behind-the-curtain-one-theory-of-social-change/,https://www.fordfoundation.org/wp-content/uploads/2023/03/theory-of-change-and-value-proposition.pdf,"ToC e propuesta de valor de la Ford Foundation. Articula como la filantropía estrategica en derechos civiles, igualdad y democracia genera reduccion de la desigualdad.","Ford Foundation, philanthropy, inequality, theory of change, civil society, rights",pendiente
134,Guia para construir teorias del cambio en programas y proyectos sociales,Universidad de los Andes — ISF Colombia,Universidad,Metodologia,Guia pedagogica,Colombia,2020,ES,Manual practico,Marco general,https://isfcolombia.uniandes.edu.co/,https://isfcolombia.uniandes.edu.co/images/Vacaciones2021/PCIS_2020_Guia_para_elaborar_una_teoria_del_cambio.pdf,Guia pedagogica de la Universidad de los Andes para construir teorias del cambio en programas sociales. Desarrollada para el contexto colombiano y latinoamericano.,"teoria del cambio, Colombia, Uniandes, guia, programas sociales, pedagogia",pendiente
135,Teoria del Cambio — Fundacion Tiempo Feliz,Fundacion Tiempo Feliz,Fundacion / ONG local,Infancia / Derechos,Primera infancia,Colombia,2022,ES,Documento de programa,Organizacional,https://fundaciontiempofeliz.org/,https://fundaciontiempofeliz.org/wp-content/uploads/2022/02/Teoria-del-cambio.pdf,Teoria del cambio de la Fundacion Tiempo Feliz para atencion integral a primera infancia y juventud en Colombia. Desarrollada con enfoque participativo.,"primera infancia, Colombia, teoria del cambio, participacion, fundacion",pendiente
136,Principios de Teoria de Cambio — Taplin y Clark,ActKnowledge / TheoryOfChange.org,Think tank,Metodologia,Principios fundacionales,Global,2020,ES,Paper academico,Marco general,https://www.theoryofchange.org/,https://www.theoryofchange.org/wp-content/uploads/2021/04/2020.04.23-Taplin-y-Clark.pdf,"Traduccion al espanol del documento de principios de Teoria de Cambio de Taplin y Clark (ActKnowledge). Fundamenta los principios de plausibilidad, factibilidad y verificabilidad.","teoria del cambio, Taplin, Clark, principios, plausibilidad, ActKnowledge",pendiente
137,Theory of Change — JPAL Lecture on Program Design,J-PAL South Asia / IFMR,Think tank / Universidad,Metodologia,Evaluacion experimental,Global,2017,EN,Material pedagogico,Marco general,https://www.povertyactionlab.org/,https://www.povertyactionlab.org/sites/default/files/Lecture%202-THEORY%20OF%20CHANGE.pdf,Presentacion de lectura de J-PAL sobre Teoria del Cambio en el contexto de evaluacion experimental de programas. Perspectiva de diseno basado en evidencia.,"J-PAL, theory of change, experimental evaluation, program design, RCT, poverty action",pendiente
138,INTRAC — Theory of Change: A Guide for Small and Diaspora NGOs,INTRAC,Think tank / ONG de capacidad,Metodologia,Guia para pequenas ONGs,Global,2013,EN,Guia metodologica,Marco general,https://www.intrac.org/resources/theory-of-change/,https://www.intrac.org/wpcms/wp-content/uploads/2016/09/Theory-of-change_A-Guide-for-Small-and-Diaspora-NGOs-1.pdf,Guia de INTRAC para pequenas ONGs y organizaciones diaspora. Explica como construir una ToC con recursos limitados y como integrarla con el logframe.,"INTRAC, small NGOs, diaspora, theory of change, logframe, capacity",pendiente
139,ActionAid Theory of Change — Women's Rights and Feminist Development,ActionAid International,ONG internacional,Genero / Igualdad,Derechos de la mujer y feminismo,Global,2018,EN,Documento estrategico,Organizacional,https://www.actionaid.org/publications/actionaid-theory-change,https://www.actionaid.org/sites/default/files/actionaid_theory_of_change.pdf,ToC institucional de ActionAid centrada en derechos de la mujer y desarrollo feminista. Articula como el empoderamiento de mujeres y ninas genera cambio sistemico.,"women rights, feminist, ActionAid, theory of change, empowerment, gender justice",pendiente
140,Tearfund Theory of Change — Resilient Livelihoods,Tearfund,ONG internacional,Desarrollo Internacional,Medios de vida resilientes,Africa / Asia,2019,EN,Documento de programa,Organizacional,https://www.tearfund.org/learn/resources/policy-and-research/theory-of-change,https://www.tearfund.org/media/1155/tearfund-theory-of-change.pdf,"ToC de Tearfund para medios de vida resilientes en comunidades vulnerables. Articula como la fe, la transformacion comunitaria y el desarrollo generan resiliencia.","Tearfund, livelihoods, resilience, theory of change, faith-based, development",pendiente
141,Helen Keller International Theory of Change — Nutrition and Eye Health,Helen Keller International (HKI),ONG internacional,Nutricion / Seguridad alimentaria,Nutricion y salud ocular,Africa / Asia,2019,EN,Documento de programa,Programa especifico,https://helenkellerintl.org/our-approach/theory-of-change/,https://helenkellerintl.org/wp-content/uploads/2019/03/hki-theory-of-change.pdf,"ToC de Helen Keller International para nutricion y salud ocular. Muestra como intervenciones en vitamina A, deficiencia de micronutrientes y WASH generan salud sostenida.","nutrition, eye health, vitamin A, theory of change, Helen Keller, micronutrients",pendiente
142,Practical Action Theory of Change — Technology and Innovation for Poor Communities,Practical Action,ONG internacional,Desarrollo economico / Pobreza,Tecnologia para el desarrollo,Africa / Asia / America Latina,2020,EN,Documento estrategico,Organizacional,https://practicalaction.org/our-work/our-impact/theory-of-change/,https://practicalaction.org/wp-content/uploads/2020/01/Practical-Action-Theory-of-Change.pdf,ToC de Practical Action para el uso de tecnologia e innovacion en beneficio de comunidades pobres. Articula como la tecnologia apropiada genera medios de vida y reduccion de riesgos.,"technology, innovation, Practical Action, theory of change, livelihoods, appropriate technology",pendiente
143,Christian Aid Theory of Change — Justice and Accountability,Christian Aid,ONG internacional,Desarrollo Internacional,Justicia y rendicion de cuentas,Global,2020,EN,Documento estrategico,Organizacional,https://www.christianaid.org.uk/about-us/our-approach/theory-of-change,https://www.christianaid.org.uk/sites/default/files/christian-aid-theory-of-change.pdf,"ToC de Christian Aid centrada en justicia, rendicion de cuentas y respuesta al cambio climatico. Explica como las comunidades vulnerables pueden superar la pobreza y las injusticias.","Christian Aid, justice, accountability, climate change, theory of change, development",pendiente
144,Aga Khan Foundation Theory of Change — Civil Society and Rural Development,Aga Khan Foundation (AKF),Fundacion,Desarrollo Internacional,Sociedad civil y desarrollo rural,Asia / Africa,2019,EN,Documento estrategico,Organizacional,https://www.akdn.org/our-agencies/aga-khan-foundation,https://www.akdn.org/sites/akdn/files/media/publications/2019_akf_theory_of_change.pdf,"ToC de la Aga Khan Foundation para el desarrollo de la sociedad civil y el desarrollo rural. Articula como el capital humano, social e institucional genera prosperidad en comunidades marginadas.","Aga Khan Foundation, civil society, rural development, theory of change, human capital",pendiente
145,WaterAid Theory of Change — Safe Water Access,WaterAid,ONG internacional,Agua y Saneamiento (WASH),Acceso a agua segura,Africa / Asia / America Latina,2018,EN,Documento de programa,Organizacional,https://www.wateraid.org/uk/what-we-do/our-approach/theory-of-change,https://www.wateraid.org/uk/sites/g/files/jkxoof1/files/wateraid-theory-of-change.pdf,"ToC de WaterAid para el acceso a agua potable y saneamiento en comunidades marginadas. Explica como el acceso a agua segura genera salud, bienestar y oportunidades economicas.","water, WASH, WaterAid, theory of change, sanitation, hygiene, safe water",pendiente
146,Room to Read Theory of Change — Girls' Education and Literacy,Room to Read,ONG internacional,Educacion,Alfabetizacion y educacion de ninas,Asia / Africa,2019,EN,Documento de programa,Organizacional,https://www.roomtoread.org/the-solution/theory-of-change/,https://www.roomtoread.org/media/o4ybr00t/theory-of-change-2019.pdf,ToC de Room to Read para alfabetizacion y educacion de ninas. Explica como el aprendizaje de la lectura y la permanencia escolar de ninas genera desarrollo de largo plazo.,"literacy, girls education, Room to Read, theory of change, reading, school",pendiente
147,Landesa Theory of Change — Land Rights for Rural Poor,Landesa,ONG internacional,Derechos de la tierra,Derechos de tenencia de la tierra,Asia / Africa,2019,EN,Documento de programa,Organizacional,https://www.landesa.org/what-we-do/theory-of-change/,https://www.landesa.org/wp-content/uploads/Landesa-Theory-of-Change.pdf,"ToC de Landesa para los derechos de tenencia de la tierra para los pobres rurales. Articula como la seguridad en la tenencia de la tierra genera inversion, reduccion de pobreza y dignidad.","land rights, tenure security, Landesa, theory of change, rural, poverty",pendiente
148,Global Giving Theory of Change — Community-Led Development,GlobalGiving,Plataforma de filantropía,Desarrollo Internacional,Desarrollo liderado por comunidades,Global,2020,EN,Documento estrategico,Organizacional,https://www.globalgiving.org/about/theory-of-change/,https://www.globalgiving.org/pfil/14888/projdoc.pdf,ToC de GlobalGiving para el desarrollo liderado por comunidades a traves de la filantropía digital. Explica como el empoderamiento de comunidades locales genera cambio sostenible.,"community-led, GlobalGiving, theory of change, philanthropy, local organizations",pendiente
149,Theory of Change — Social Return on Investment (SROI) for Social Finance,Social Finance UK,Empresa social / Consultora,SROI / Valoracion social,Bonos de impacto social,UK,2020,EN,Guia metodologica,Marco general,https://www.socialfinance.org.uk/resources/publications/theory-of-change,https://www.socialfinance.org.uk/sites/default/files/publications/theory-of-change-sib.pdf,Marco de ToC de Social Finance UK para los bonos de impacto social (SIBs). Explica como la ToC informa el diseno de contratos de pago por resultados.,"social impact bonds, SIB, theory of change, Social Finance, payment by results, outcomes",pendiente
150,Palladium Group — Theory of Change in Market Systems Development,Palladium Group,Consultora de desarrollo,Desarrollo economico / Pobreza,Desarrollo de sistemas de mercado,Global,2018,EN,Documento tecnico,Marco general,https://thepalladiumgroup.com/knowledge/theory-of-change,https://thepalladiumgroup.com/wp-content/uploads/Theory-of-Change-Market-Systems.pdf,"Marco de ToC de Palladium para el desarrollo de sistemas de mercado (MSD). Articula como los cambios en reglas, normas y relaciones de mercado generan inclusion economica.","market systems development, MSD, theory of change, Palladium, DCED, economic inclusion",pendiente
151,Theory of Change for Monitoring and Evaluation — USAID Learning Lab,USAID / Learning Lab,Agencia gubernamental,Metodologia,Monitoreo y evaluacion,Global,2018,EN,Guia metodologica,Marco general,https://usaidlearninglab.org/tools-resources/theory-change,https://usaidlearninglab.org/sites/default/files/resource/files/additional_help_for_ads_201_theory_of_change.pdf,Guia de USAID Learning Lab sobre ToC para el diseno de proyectos de desarrollo. Parte del estandar ADS 201 del gobierno de EEUU para programas de ayuda exterior.,"USAID, theory of change, ADS 201, monitoring, evaluation, CLA, foreign aid",pendiente
152,Tearfund Footsteps — Theory of Change for Community Health,Tearfund / Footsteps,ONG internacional,Salud,Salud comunitaria,Africa / Asia,2017,EN,Documento de programa,Programa especifico,https://www.tearfund.org/learn/resources/footsteps/,https://www.tearfund.org/media/1156/footsteps-theory-of-change.pdf,ToC de Footsteps (Tearfund) para la salud comunitaria. Explica como el empoderamiento de comunidades religiosas genera mejoras en salud y bienestar en contextos de recursos limitados.,"community health, Tearfund, Footsteps, faith-based, theory of change, Africa",pendiente
153,Population Council Theory of Change — Adolescent Girl Programs,Population Council,Think tank / ONG,Genero / Igualdad,Ninas adolescentes,Global,2017,EN,Documento de programa,Marco general,https://www.popcouncil.org/research/theory-of-change-for-adolescent-girl-programs,https://www.popcouncil.org/uploads/pdfs/2017RH_AdolescentGirlsToC.pdf,"Marco de ToC del Population Council para programas de ninas adolescentes. Identifica 5 dominios criticos: salud, educacion, economico, social y libre de violencia.","adolescent girls, theory of change, Population Council, gender, health, education",pendiente
154,Right to Play Theory of Change — Sport for Child Development,Right To Play,ONG internacional,Deporte para el desarrollo,Deporte para el desarrollo infantil,Africa / Asia / Middle East,2018,EN,Documento de programa,Organizacional,https://www.righttoplay.com/en/who-we-are/theory-of-change/,https://www.righttoplay.com/wp-content/uploads/2018/05/RTP-Theory-of-Change.pdf,"ToC de Right to Play para el uso del juego y el deporte en el desarrollo de ninos en contextos de conflicto, pobreza y desigualdad. Modelo basado en el juego transformador.","sport, play, child development, Right to Play, theory of change, conflict, poverty",pendiente
155,Habitat for Humanity Theory of Change — Adequate Housing,Habitat for Humanity International,ONG internacional,Vivienda / Personas sin hogar,Vivienda adecuada,Global,2019,EN,Documento estrategico,Organizacional,https://www.habitat.org/about/theory-of-change,https://www.habitat.org/sites/default/files/documents/habitat-theory-of-change.pdf,"ToC de Habitat for Humanity para la vivienda adecuada. Articula como el acceso a vivienda segura genera bienestar, estabilidad economica y desarrollo humano.","housing, Habitat for Humanity, theory of change, adequate housing, development",pendiente
156,One Acre Fund Theory of Change — Smallholder Farmer Productivity,One Acre Fund,ONG / Empresa social,Desarrollo economico / Pobreza,Pequenos agricultores,Africa,2019,EN,Documento de programa,Organizacional,https://oneacrefund.org/about-us/our-approach/theory-of-change/,https://oneacrefund.org/documents/theory-of-change.pdf,ToC de One Acre Fund para mejorar la productividad de pequenos agricultores en Africa. Explica como insumos agricolas + credito + formacion generan aumento de ingresos y seguridad alimentaria.,"smallholder farmers, Africa, One Acre Fund, theory of change, agricultural productivity, income",pendiente
157,Transparency International Theory of Change — Anti-Corruption,Transparency International,ONG internacional,Gobernanza,Anticorrupcion y transparencia,Global,2020,EN,Documento estrategico,Organizacional,https://www.transparency.org/en/publications/theory-of-change,https://images.transparencycdn.org/images/2020_TI_StrategyDocument.pdf,"ToC de Transparency International para combatir la corrupcion. Articula como la demanda de transparencia, el acceso a la informacion y la accountability generan sociedades mas justas.","anti-corruption, transparency, Transparency International, theory of change, governance, accountability",pendiente
